'bout	ˈba͡ʊt
illegible	ˌɪˈlɛdʒəbəl
illegitimacy	ˌɪlɪˈdʒɪtəməsiː
illegitimate	ˌɪlɪˈdʒɪtəmɪt
illes	ˈa͡ɪlz
illg	ˈɪlɡ
illicit	ˌɪˈlɪsət
illicitly	ˈɪlɪsɪtliː
illig	ˈɪlɪɡ
illina	ˌɪˈliːnə
illingworth	ˈɪlɪŋˌwɜːθ
illinois	ˌɪləˈnɔɪ
illinois(2)	ˌɪləˈnɔɪz
illinois'	ˈɪlɪnɔɪz
illinois's	ˌɪlɪˈnɔɪz
illiquid	ˌɪˈlɪkwɪd
illiquidity	ˌɪlɪˈkwɪdɪtiː
illiteracy	ˌɪˈlɪtɚəsiː
illiterate	ˌɪˈlɪtɚət
illiterates	ˌɪˈlɪtɚəts
illness	ˈɪlnəs
illnesses	ˈɪlnəsɪz
illogic	ˌɪˈlɑːdʒɪk
illogical	ˌɪˈlɑːdʒɪkəl
ills	ˈɪlz
illuminate	ˌɪˈluːmɪnɪt
illuminated	ˌɪˈluːməˌneɪtəd
illuminates	ˌɪˈluːməˌneɪts
illuminating	ˌɪˈluːməˌneɪtɪŋ
illumination	ˌɪˌluːməˈneɪʃən
illuminator	ˌɪˈluːməˌneɪtɚ
illumined	ˌɪˈluːmənd
illusion	ˌɪˈluːʒən
illusionary	ˌɪˈluːʒəˌnɛɹiː
illusionism	ˌɪˈluːʒəˌnɪzəm
illusionist	ˌɪˈluːʒənəst
illusionist's	ˌɪˈluːʒənəsts
illusionists	ˌɪˈluːʒənəsts
illusions	ˌɪˈluːʒənz
illusive	ˌɪˈluːsɪv
illusory	ˌɪˈluːsɚiː
illustrate	ˈɪləˌstɹeɪt
illustrated	ˈɪləˌstɹeɪtəd
illustrated(2)	ˈɪləˌstɹeɪtɪd
illustrates	ˈɪləˌstɹeɪts
illustrating	ˈɪləˌstɹeɪtɪŋ
illustration	ˌɪləˈstɹeɪʃən
illustrations	ˌɪləˈstɹeɪʃənz
illustrative	ˌɪˈlʌstɹətɪv
illustrator	ˈɪləˌstɹeɪtɚ
illustrators	ˈɪləˌstɹeɪtɚz
illustrious	ˌɪˈlʌstɹiːəs
illyrian	ˌɪˈlɪɹiːən
ilo	ˈa͡ɪloʊ
ilona	ˌɪˈloʊnə
ilopango	ˌiːloʊˈpæŋɡoʊ
ilsa	ˈɪlsə
ilse	ˈɪls
ilsley	ˈɪlzliː
ilva	ˈɪlvə
ilya	ˈɪljə
ilyaronoff	ˈɪljɑːˈɹɔːnɔːf
im	ˈɪm
image	ˈɪmədʒ
image(2)	ˈɪmɪdʒ
imageries	ˈɪmɪdʒɹiːz
imagery	ˈɪmədʒɹiː
imagery(2)	ˈɪmɪdʒɹiː
images	ˈɪmədʒəz
images(2)	ˈɪmɪdʒɪz
imaginable	ˌɪˈmædʒənəbəl
imaginary	ˌɪˈmædʒəˌnɛɹiː
imagination	ˌɪˌmædʒəˈneɪʃən
imaginations	ˌɪˌmædʒəˈneɪʃənz
imaginative	ˌɪˈmædʒənətɪv
imaginatively	ˌɪˈmædʒənəˌtɪvˌliː
imagine	ˌɪˈmædʒən
imagined	ˌɪˈmædʒənd
imagineer	ˌɪˌmædʒəˈnɪɹ
imagineering	ˌɪˌmædʒəˈnɪɹɪŋ
imagines	ˌɪˈmædʒənz
imaging	ˈɪmɪdʒɪŋ
imagining	ˌɪˈmædʒənɪŋ
imai	ˌɪˈma͡ɪ
imam	ˈa͡ɪmæm
imamura	ˌɪˌmɑːˈmʊˌɹɑː
iman	ˈa͡ɪmən
imari	iːˈmɑːɹiː
imasco	ɪˈmæsoʊ
imax	ˈa͡ɪˌmæks
imax'	ˈa͡ɪˌmæks
imax's	ˈa͡ɪˌmæksɪz
imbalance	ɪmˈbæləns
imbalances	ɪmˈbælənsɪz
imbecile	ˈɪmbəsəl
imbecile(2)	ˈɪmbəsa͡ɪl
imbeciles	ˈɪmbəsəlz
imbeciles(2)	ˈɪmbəsa͡ɪlz
imbed	ɪmˈbɛd
imbedded	ɪmˈbɛdɪd
imbeds	ɪmˈbɛdz
imber	ˈɪmbɚ
imbera	ˈɪmbɚə
imbibe	ɪmˈba͡ɪb
imbibed	ɪmˈba͡ɪbd
imboden	ˈɪmboʊdən
imbroglio	ˌɪmˈbɹoʊˌljoʊ
imbrogno	ˌɪmˈbɹoʊɡˌnoʊ
imbue	ˌɪmˈbjuː
imbued	ˌɪmˈbjuːd
imburgia	ˈɪmbɚɡiːə
imcera	ˌɪmˈsɛɹə
imel	ˈɪməl
imelda	ˌɪˈmɛldə
imes	ˈa͡ɪmz
imhof	ˈɪmhəf
imhoff	ˈɪmˌhɔːf
imig	ˈɪmɪɡ
imitable	ˈɪmətəbəl
imitate	ˈɪməˌteɪt
imitated	ˈɪməˌteɪtɪd
imitates	ˈɪməˌteɪts
imitating	ˈɪməˌteɪtɪŋ
imitation	ˌɪməˈteɪʃən
imitations	ˌɪmɪˈteɪʃənz
imitative	ˈɪməˌteɪtɪv
imitator	ˈɪməˌteɪtɚ
imitators	ˈɪmɪˌteɪtɚz
imlay	ˌɪmˈleɪ
imler	ˈɪmlɚ
imm	ˈɪm
immaculate	ˌɪˈmækjuːlɪt
immaculately	ˌɪˈmækjələtliː
immanence	ˈɪmənəns
immanent	ˈɪmənənt
immanuel	ˈɪmənʊl
immaterial	ˌɪməˈtɪɹiːəl
immature	ˌɪməˈtjʊɹ
immaturity	ˌɪməˈtʃʊɹɪtiː
immeasurable	ˌɪˈmɛʒɚˌæbəl
immeasurably	ˌɪˈmɛʒɚˌæbliː
immediacy	ˌɪˈmiːˌdiːəsiː
immediate	ˌɪˈmiːˌdiːət
immediately	ˌɪˈmiːˌdiːətliː
immel	ˈɪməl
immemorial	ˌɪməˈmɔːɹiːəl
immense	ˌɪˈmɛns
immensely	ˌɪˈmɛnsliː
immerman	ˈɪmɚmən
immerse	ˌɪˈmɜːs
immersed	ˌɪˈmɜːst
immersion	ˌɪˈmɜːʒən
immigrant	ˈɪməɡɹənt
immigrant's	ˈɪməɡɹənts
immigrants	ˈɪməɡɹənts
immigrants'	ˈɪmɪɡɹənts
immigrate	ˈɪməˌɡɹeɪt
immigrated	ˈɪməˌɡɹeɪtɪd
immigration	ˌɪməˈɡɹeɪʃən
imminence	ˈɪmənəns
imminent	ˈɪmənənt
imminently	ˈɪmənəntliː
immiscible	ˌɪˈmɪsəbəl
immobile	ˌɪˈmoʊbəl
immobile(2)	ˌɪˈmoʊˌba͡ɪl
immobile(3)	ˌɪˈmoʊˌbiːl
immobility	ˌɪmoʊˈbɪlɪtiː
immobilize	ˌɪˈmoʊbəˌla͡ɪz
immobilized	ˌɪˈmoʊbəˌla͡ɪzd
immobilizing	ˌɪˈmoʊbəˌla͡ɪzɪŋ
immolate	ˈɪməˌleɪt
immolated	ˈɪməˌleɪtəd
immolates	ˈɪməˌleɪts
immolating	ˈɪməˌleɪtɪŋ
immolation	ˈɪməˌleɪʃən
immoral	ˌɪˈmɔːɹəl
immorality	ˌɪmɚˈælɪtiː
immortal	ˌɪˈmɔːɹtəl
immortality	ˌɪmɔːɹˈtælɪtiː
immortalize	ˌɪˈmɔːɹtəla͡ɪz
immortalized	ˌɪˈmɔːɹtəla͡ɪzd
immortalizes	ˌɪˈmɔːɹtəla͡ɪzɪz
immortalizing	ˌɪˈmɔːɹtəla͡ɪzɪŋ
immortals	ˌɪˈmɔːɹtəlz
immotile	ˌɪˈmoʊtəl
immovable	ˌɪˈmuːvəbəl
immu	ˈɪmjuː
immulogic	ˈɪmjuːˌlɑːdʒɪk
immune	ˌɪˈmjuːn
immunetech	ˈɪmjuːnˌtɛk
immunex	ˈɪmjuːnɛks
immunities	ˌɪˈmjuːnɪtiːz
immunity	ˌɪˈmjuːnətiː
immunity(2)	ˌɪˈmjuːnɪtiː
immunization	ˌɪmjuːnəˈzeɪʃən
immunizations	ˌɪmjuːnəˈzeɪʃənz
immunize	ˈɪmjuːˌna͡ɪz
immunized	ˈɪmjəˌna͡ɪzd
immunizes	ˈɪmjəˌna͡ɪzɪz
immunizing	ˈɪmjəˌna͡ɪzɪŋ
immuno	ˌɪˈmjuːnoʊ
immunodeficiency	ˌɪmjuːnoʊˌdɪˈfɪʃənsiː
immunological	ˌɪmjuːnəˈlɑːdʒɪkəl
immunologist	ˌɪmjuːˈnɑːlədʒɪst
immunology	ˌɪmjuːˈnɑːlədʒiː
immunomedic	ˈɪmjuːnoʊˌmɛdɪk
immunomedics	ˈɪmjuːnoʊˌmɛdɪks
immunoperoxidase	ˈɪmjuːnoʊpɛˈɹɔːksɪˌdeɪz
immunotherapy	ˌɪmjuːnoʊˈθɛɹəpiː
immutable	ˌɪˈmjuːtəbəl
imnet	ˈɪmˌnɛt
imo	ˈa͡ɪmoʊ
imo(2)	ˈa͡ɪˈɛˈmoʊ
imogen	ˈɪməɡən
imogene	ˈɪməˌdʒiːn
imondi	ˌɪˈmoʊnˌdiː
imondi(2)	ˌɪˈmɑːnˌdiː
imp	ˈɪmp
impact	ˌɪmˈpækt
impact(2)	ˈɪmpækt
impacted	ˈɪmˌpæktɪd
impacted(2)	ˌɪmˈpæktɪd
impacting	ˌɪmˈpæktɪŋ
impacts	ˌɪmˈpækts
impacts(2)	ˈɪmpækts
impacts(3)	ɪmˈpæks
impacts(4)	ˈɪmpæks
impair	ˌɪmˈpɛɹ
impaired	ˌɪmˈpɛɹd
impairing	ˌɪmˈpɛɹɪŋ
impairment	ˌɪmˈpɛɹmənt
impairments	ˌɪmˈpɛɹmənts
impairs	ˌɪmˈpɛɹz
impala	ˌɪmˈpɑːlə
impale	ˌɪmˈpeɪl
impaled	ˌɪmˈpeɪld
impales	ˌɪmˈpeɪlz
impaling	ˌɪmˈpeɪlɪŋ
impanel	ˌɪmˈpænəl
impaneled	ˌɪmˈpænəld
impart	ˌɪmˈpɑːɹt
imparted	ˌɪmˈpɑːɹtɪd
impartial	ˌɪmˈpɑːɹʃəl
impartiality	ˌɪmˌpɑːɹʃiːˈælɪtiː
impartially	ˌɪmˈpɑːɹʃəliː
imparting	ˌɪmˈpɑːɹtɪŋ
imparts	ˌɪmˈpɑːɹts
impassable	ˌɪmˈpæsəbəl
impasse	ˌɪmˈpæs
impasse(2)	ˈɪmˌpæs
impassion	ˌɪmˈpæʃən
impassioned	ˌɪmˈpæʃənd
impassive	ˌɪmˈpæsɪv
impassively	ˌɪmˈpæsɪvliː
impastato	ˌɪmpɑːˈstɑːtoʊ
impatience	ˌɪmˈpeɪʃəns
impatiens	ˌɪmˈpeɪʃənz
impatient	ˌɪmˈpeɪʃənt
impatiently	ˌɪmˈpeɪʃəntliː
impeach	ˌɪmˈpiːtʃ
impeachable	ˌɪmˈpiːtʃəbəl
impeached	ˌɪmˈpiːtʃt
impeaches	ˌɪmˈpiːtʃəz
impeaching	ˌɪmˈpiːtʃɪŋ
impeachment	ˌɪmˈpiːtʃmənt
impeachments	ˌɪmˈpiːtʃmənts
impeccable	ˌɪmˈpɛkəbəl
impeccably	ˌɪmˈpɛkəbliː
impedance	ˌɪmˈpiːdəns
impede	ˌɪmˈpiːd
impeded	ˌɪmˈpiːdɪd
impedes	ˌɪmˈpiːdz
impediment	ˌɪmˈpɛdəmənt
impediments	ˌɪmˈpɛdəmənts
impeding	ˌɪmˈpiːdɪŋ
impel	ˌɪmˈpɛl
impelled	ˌɪmˈpɛld
impend	ˌɪmˈpɛnd
impending	ˌɪmˈpɛndɪŋ
impenetrable	ˌɪmˈpɛnətɹəbəl
imperative	ˌɪmˈpɛɹətɪv
imperatives	ˌɪmˈpɛɹətɪvz
imperato	ˌɪmpɚˈɑːtoʊ
imperceptible	ˌɪmpɚˈsɛptɪbəl
imperceptibly	ˌɪmpɚˈsɛptɪbliː
imperfect	ˌɪmˈpɜːfɪkt
imperfection	ˌɪmpɚˈfɛkʃən
imperfections	ˌɪmpɚˈfɛkʃənz
imperfectly	ˌɪmˈpɜːfɪktliː
imperia	ˌɪmˈpiːɹiːə
imperial	ˌɪmˈpɪɹiːəl
imperial's	ˌɪmˈpɪɹiːəlz
imperiale	ˌɪmpɚiːˈɑːliː
imperialism	ˌɪmˈpɪɹiːəˌlɪzəm
imperialist	ˌɪmˈpɪɹiːəlɪst
imperialistic	ˌɪmˌpiːɹiːəˈlɪstɪk
imperialists	ˌɪmˈpɪɹiːəlɪsts
imperil	ˌɪmˈpɛɹəl
imperiled	ˌɪmˈpɛɹəld
imperiling	ˌɪmˈpɛɹəlɪŋ
imperils	ˌɪmˈpɛɹəlz
imperious	ˌɪmˈpɪɹiːəs
impermissible	ˌɪmpɚˈmɪsɪbəl
impersonal	ˌɪmˈpɜːsənəl
impersonality	ˌɪmˌpɜːsəˈnælətiː
impersonate	ˌɪmˈpɜːsəˌneɪt
impersonated	ˌɪmˈpɜːsəˌneɪtɪd
impersonates	ˌɪmˈpɜːsəˌneɪts
impersonating	ˌɪmˈpɜːsəˌneɪtɪŋ
impersonation	ˌɪmpɚsəˈneɪʃən
impersonator	ˌɪmˈpɜːsəneɪtɚ
impersonators	ˌɪmˈpɜːsəˌneɪtɚz
impertinent	ˌɪmˈpɜːtənənt
impervious	ˌɪmˈpɜːviːəs
impetuous	ˌɪmˈpɛtʃwəs
impetus	ˈɪmpətəs
impinge	ˌɪmˈpɪndʒ
impinged	ˌɪmˈpɪndʒd
impinges	ˌɪmˈpɪndʒɪz
impinging	ˌɪmˈpɪndʒɪŋ
impious	ˌɪmˈpa͡ɪəs
impish	ˈɪmpɪʃ
implacable	ˌɪmˈplækəbəl
implant	ˌɪmˈplænt
implant(2)	ˈɪmˌplænt
implantable	ˈɪmˌplæntəbəl
implantation	ˌɪmplænˈteɪʃən
implanted	ˌɪmˈplæntɪd
implanting	ˌɪmˈplæntɪŋ
implants	ˌɪmˈplænts
implants(2)	ˈɪmˌplænts
implausible	ˌɪmˈplɔːzəbəl
implausibly	ˌɪmˈplɔːzəbliː
implement	ˈɪmpləmənt
implementation	ˌɪmpləmɛnˈteɪʃən
implementations	ˌɪmpləmɛnˈteɪʃənz
implemented	ˈɪmpləˌmɛntəd
implemented(2)	ˈɪmpləˌmɛnəd
implementing	ˈɪmpləˌmɛntɪŋ
implementing(2)	ˈɪmpləˌmɛnɪŋ
implements	ˈɪmpləmənts
implicate	ˈɪmplɪˌkeɪt
implicated	ˈɪmplɪˌkeɪtɪd
implicates	ˈɪmplɪˌkeɪts
implicating	ˈɪmplɪˌkeɪtɪŋ
implication	ˌɪmpləˈkeɪʃən
implications	ˌɪmpləˈkeɪʃənz
implicit	ˌɪmˈplɪsət
implicitly	ˌɪmˈplɪsətliː
implied	ˌɪmˈpla͡ɪd
implies	ˌɪmˈpla͡ɪz
implode	ˌɪmˈploʊd
imploded	ˌɪmˈploʊdɪd
implodes	ˌɪmˈploʊdz
imploding	ˌɪmˈploʊdɪŋ
implore	ˌɪmˈplɔːɹ
implored	ˌɪmˈplɔːɹd
implores	ˌɪmˈplɔːɹz
imploring	ˌɪmˈplɔːɹɪŋ
implosion	ˌɪmˈploʊʒən
imply	ˌɪmˈpla͡ɪ
implying	ˌɪmˈpla͡ɪɪŋ
impolite	ˌɪmpəˈla͡ɪt
impolitic	ˌɪmpɔːˈlɪˌtɪk
imponderable	ˌɪmˈpɑːndɚəbəl
imponderables	ˌɪmˈpɑːndɚəbəlz
import	ˌɪmˈpɔːɹt
import(2)	ˈɪmˌpɔːɹt
importance	ˌɪmˈpɔːɹtəns
important	ˌɪmˈpɔːɹtənt
importantly	ˌɪmˈpɔːɹtəntliː
importation	ˌɪmpɔːɹˈteɪʃən
imported	ˌɪmˈpɔːɹtɪd
importer	ˌɪmˈpɔːɹtɚ
importers	ˌɪmˈpɔːɹtɚz
importers'	ˌɪmˈpɔːɹtɚz
importing	ˌɪmˈpɔːɹtɪŋ
imports	ˌɪmˈpɔːɹts
imports(2)	ˈɪmˌpɔːɹts
imports'	ˈɪmpɔːɹts
impose	ˌɪmˈpoʊz
imposed	ˌɪmˈpoʊzd
imposes	ɪmˈpoʊzəz
imposes(2)	ɪmˈpoʊzɪz
imposing	ˌɪmˈpoʊzɪŋ
imposition	ˌɪmpəˈzɪʃən
impossibility	ˌɪmˌpɔːsɪˈbɪlɪtiː
impossible	ˌɪmˈpɑːsəbəl
impossible's	ˌɪmˈpɑːsəbəlz
impossibly	ˌɪmˈpɑːsəbliː
imposter	ˌɪmˈpɔːstɚ
impostor	ˌɪmˈpɔːstɚ
impostors	ˌɪmˈpɔːstɚz
impotence	ˈɪmpətəns
impotent	ˈɪmpətənt
impound	ˌɪmˈpa͡ʊnd
impounded	ˌɪmˈpa͡ʊndɪd
impounding	ˌɪmˈpa͡ʊndɪŋ
impoundment	ˌɪmˈpa͡ʊndmənt
impoundments	ˌɪmˈpa͡ʊndmənts
impounds	ˌɪmˈpa͡ʊndz
impoverish	ˌɪmˈpɑːvɹɪʃ
impoverished	ˌɪmˈpɑːvɹɪʃt
impoverishes	ˌɪmˈpɑːvɹɪʃəz
impoverishing	ˌɪmˈpɑːvɹɪʃɪŋ
impoverishment	ˌɪmˈpɑːvɹɪʃmənt
impracticable	ˌɪmˈpɹæktɪkəbəl
impractical	ˌɪmˈpɹæktəkəl
impractical(2)	ˌɪmˈpɹæktɪkəl
imprecise	ˈɪmpɹəˌsa͡ɪs
impregnable	ˌɪmˈpɹɛɡnəbəl
impregnate	ˌɪmˈpɹɛɡˌneɪt
impregnated	ˌɪmˈpɹɛɡˌneɪtəd
impregnates	ˌɪmˈpɹɛɡˌneɪts
impregnating	ˌɪmˈpɹɛɡˌneɪtɪŋ
impregnation	ˌɪmˈpɹɛɡˈneɪʃən
impresario	ˌɪmpɹɪˈsɑːɹiːˌoʊ
impress	ˌɪmˈpɹɛs
impress(2)	ˈɪmˌpɹɛs
impressed	ˌɪmˈpɹɛst
impresses	ˌɪmˈpɹɛsɪz
impressing	ˌɪmˈpɹɛsɪŋ
impression	ˌɪmˈpɹɛʃən
impressionable	ˌɪmˈpɹɛʃənəbəl
impressionism	ˌɪmˈpɹɛʃəˌnɪzəm
impressionist	ˌɪmˈpɹɛʃənəst
impressionist(2)	ˌɪmˈpɹɛʃənɪst
impressionistic	ˌɪmˌpɹɛʃəˈnɪstɪk
impressionists	ˌɪmˈpɹɛʃənɪsts
impressions	ˌɪmˈpɹɛʃənz
impressive	ˌɪmˈpɹɛsɪv
impressively	ˌɪmˈpɹɛsɪvliː
impressment	ˌɪmˈpɹɛsmənt
imprimatur	ˌɪmpɹɪˈmɑːtɚ
imprimis	ˌɪmˈpɹiːmɪs
imprint	ˌɪmˈpɹɪnt
imprint(2)	ˈɪmpɹɪnt
imprinted	ˌɪmˈpɹɪntɪd
imprinted(2)	ˌɪmˈpɹɪnɪd
imprinting	ˌɪmˈpɹɪntɪŋ
imprinting(2)	ˌɪmˈpɹɪnɪŋ
imprints	ˌɪmˈpɹɪnts
imprison	ˌɪmˈpɹɪzən
imprisoned	ˌɪmˈpɹɪzənd
imprisoning	ˌɪmˈpɹɪzənɪŋ
imprisonment	ˌɪmˈpɹɪzənmənt
imprisons	ˌɪmˈpɹɪzənz
improbable	ˌɪmˈpɹɑːbəbəl
improbably	ˌɪmˈpɹɑːbəbliː
impromptu	ˌɪmˈpɹɑːmptuː
improper	ˌɪmˈpɹɑːpɚ
improperly	ˌɪmˈpɹɑːpɚliː
improprieties	ˌɪmpɹəˈpɹa͡ɪətiːz
impropriety	ˌɪmpɹəˈpɹa͡ɪətiː
improv	ˈɪmˌpɹɑːv
improve	ˌɪmˈpɹuːv
improved	ˌɪmˈpɹuːvd
improvement	ˌɪmˈpɹuːvmənt
improvements	ˌɪmˈpɹuːvmənts
improves	ˌɪmˈpɹuːvz
improving	ˌɪmˈpɹuːvɪŋ
improvisation	ˌɪmpɹɑːvɪˈzeɪʃən
improvisational	ˌɪmpɹɑːvɪˈzeɪʃənəl
improvisations	ˌɪmpɹɑːvɪˈzeɪʃənz
improvise	ˈɪmpɹəˌva͡ɪz
improvise(2)	ˌɪmpɹəˈva͡ɪz
improvised	ˈɪmpɹəˌva͡ɪzd
improvises	ˈɪmpɹəˌva͡ɪzəz
improvises(2)	ˌɪmpɹəˈva͡ɪzəz
improvising	ˈɪmpɹəˌva͡ɪzɪŋ
imprudence	ˌɪmˈpɹuːdəns
imprudent	ˌɪmˈpɹuːdənt
imprudently	ˌɪmˈpɹuːdəntliː
impson	ˈɪmpsən
impugn	ˌɪmˈpjuːn
impugned	ˌɪmˈpjuːnd
impugning	ˌɪmˈpjuːnɪŋ
impugns	ˌɪmˈpjuːnz
impulse	ˈɪmpəls
impulse(2)	ˌɪmˈpʌls
impulses	ˈɪmpəlsɪz
impulses(2)	ˌɪmˈpʌlsɪz
impulsive	ˌɪmˈpʌlsɪv
impulsively	ˌɪmˈpʌlsɪvliː
impunity	ˌɪmˈpjuːnɪtiː
impure	ˌɪmˈpjʊɹ
impurities	ˌɪmˈpjʊɹətiːz
impurity	ˌɪmˈpjʊɹətiː
imputation	ˌɪmpjəˈteɪʃən
impute	ˌɪmˈpjuːt
imputed	ˌɪmˈpjuːtɪd
imre	ˈɪmɹə
imreg	ˌɪmˈɹɛɡ
imreg's	ˌɪmˈɹɛɡz
imrie	ˈɪmɚiː
imus	ˈa͡ɪməs
in	ɪn
in(2)	ˈɪn
in's	ɪnz
in's(2)	ˈɪnz
in-app	ɪˈnæp
in-depth	ɪnˈdɛpθ
in-house	ɪnˈha͡ʊs
in-law	ɪnˈlɔː
in-laws	ɪnˈlɔːz
in-memory	ɪnˈmɛmɚiː
in-person	ɪnˈpɜːsən
in.	ˈɪn
in.(2)	ˈɪntʃ
ina	ˈiːnə
inability	ˌɪnəˈbɪlɪtiː
inabinet	ˌɪnəˈbɪnɪt
inaccessibility	ˌɪnəkˌsɛsəˈbɪlətiː
inaccessible	ˌɪnəkˈsɛsəbəl
inaccuracies	ˌɪˈnækjɚˌæsiːz
inaccuracy	ˌɪˈnækjɚəsiː
inaccurate	ˌɪˈnækjɚət
inaccurately	ˌɪˈnækjɚətliː
inacom	ˈɪnəˌkɑːm
inacom(2)	ˈa͡ɪnəˌkɑːm
inacomp	ˈa͡ɪnəˌkɑːmp
inacomp(2)	ˈɪnəˌkɑːmp
inaction	ˌɪˈnækʃən
inactivate	ˌɪˈnæktɪˌveɪt
inactivated	ˌɪˈnæktɪˌveɪtɪd
inactivates	ˌɪˈnæktɪˌveɪts
inactivation	ˌɪˌnæktɪˈveɪʃən
inactive	ˌɪˈnæktɪv
inactivity	ˌɪnækˈtɪvɪtiː
inadequacies	ˌɪˈnædəkwəsiːz
inadequacy	ˌɪˈnædɪkwəsiː
inadequate	ˌɪˈnædəkwət
inadequate(2)	ˌɪˈnædəˌkweɪt
inadequately	ˌɪˈnædəkwətliː
inadmissible	ˌɪnədˈmɪsəbəl
inadmissible(2)	ˌɪnædˈmɪsəbəl
inadmissibly	ˌɪnədˈmɪsəbliː
inadmissibly(2)	ˌɪnædˈmɪsəbliː
inadvertence	ˌɪnədˈvɜːtəns
inadvertence(2)	ˌɪnædˈvɜːtəns
inadvertent	ˌɪnədˈvɜːtənt
inadvertent(2)	ˌɪnædˈvɜːtənt
inadvertently	ˌɪnədˈvɜːtəntliː
inadvertently(2)	ˌɪnædˈvɜːtəntliː
inadvisable	ˌɪnədˈva͡ɪzəbəl
inadvisable(2)	ˌɪnædˈva͡ɪzəbəl
inaez	ˌɪˈnæz
inaez(2)	ˌɪˈneɪz
inaki	ˌɪˈnɑːkiː
inalienable	ˌɪˈneɪljənəbəl
inamura	ˌɪnəˈmʊɹə
inane	ˌɪˈneɪn
inanimate	ˌɪˈnænəmət
inapplicable	ˌɪˈnæplɪkəbəl
inappropriate	ˌɪnəˈpɹoʊpɹiːɪt
inappropriately	ˌɪnəˈpɹɑːpɹiːətliː
inarticulate	ˌɪnɑːɹˈtɪkjələt
inasmuch	ˌɪˈnæsmək
inattention	ˌɪnəˈtɛntʃən
inattentive	ˌɪnəˈtɛntɪv
inaudible	ˌɪˈnɔːdəbəl
inaudibly	ˌɪˈnɔːdəbliː
inaugural	ˌɪˈnɔːɡɚəl
inaugural(2)	ˌɪˈnɔːɡjɚəl
inaugurate	ɪˈnɔːɡjɚɪt
inaugurate(2)	ɪˈnɔːɡjɚeɪt
inaugurated	ɪˈnɔːɡɚˌeɪtɪd
inaugurated(2)	ɪˈnɔːɡjɚˌeɪtɪd
inaugurates	ɪˈnɔːɡjɚɪts
inaugurating	ɪˈnɔːɡjɚˌeɪtɪŋ
inauguration	ɪˌnɔːɡjɚˈeɪʃən
inaugurations	ɪˌnɔːɡjɚˈeɪʃənz
inauspicious	ˌɪˌna͡ʊˈspɪʃɪs
inbio	ˌɪnˈba͡ɪoʊ
inboard	ˈɪnˌbɔːɹd
inboden	ˈɪnboʊdən
inbody	ˈɪnbɑːdiː
inborn	ˈɪnˌbɔːɹn
inbound	ˌɪnˈba͡ʊnd
inbound(2)	ˈɪnba͡ʊnd
inbox	ˈɪnˌbɑːks
inbred	ˈɪnˌbɹɛd
inbreed	ˈɪnˌbɹiːd
inbreeding	ˌɪnˈbɹiːdɪŋ
inc	ˈɪŋk
inc.	ˈɪŋk
inc.(2)	ɪŋˈkɔːɹpɔːɹeɪtəd
inc.'s	ˈɪŋks
inca	ˈɪŋkə
incalculable	ˌɪnˈkælkjələbəl
incandescent	ˌɪnkənˈdɛsənt
incant	ˌɪnˈkænt
incantation	ˌɪnˈkænˈteɪʃən
incantatory	ˌɪnˈkæntəˌtɔːɹiː
incapable	ˌɪnˈkeɪpəbəl
incapacitate	ˌɪnkəˈpæsɪˌteɪt
incapacitated	ˌɪnkəˈpæsɪˌteɪtɪd
incapacitating	ˌɪnkəˈpæsɪˌteɪtɪŋ
incapacitation	ˌɪnkəˌpæsɪˈteɪʃən
incapacity	ˌɪnkəˈpæsətiː
incarcerate	ˌɪnˈkɑːɹsɚˌeɪt
incarcerated	ˌɪnˈkɑːɹsɚˌeɪtɪd
incarcerates	ˌɪnˈkɑːɹsɚˌeɪts
incarcerating	ˌɪnˈkɑːɹsɚˌeɪtɪŋ
incarceration	ˌɪnˌkɑːɹsɚˈeɪʃən
incarnate	ˌɪnˈkɑːɹnət
incarnate(2)	ˌɪnˈkɑːɹˌneɪt
incarnation	ˌɪnˈkɑːɹˈneɪʃən
incarnations	ˌɪnkɑːɹˈneɪʃənz
incas	ˈɪŋkəz
incase	ˌɪnˈkeɪs
incata	ˌɪŋˈkɑːtə
incata's	ˌɪŋˈkɑːtəz
ince	ˈɪns
incendiary	ˌɪnˈsɛndiːɛɹiː
incense	ˌɪnˈsɛns
incense(2)	ˈɪnˌsɛns
incensed	ˈɪnˌsɛnst
incentive	ˌɪnˈsɛntɪv
incentive(2)	ˌɪnˈsɛnɪv
incentives	ˌɪnˈsɛntɪvz
incentives(2)	ˌɪnˈsɪnɪvz
inception	ˌɪnˈsɛpʃən
incessant	ˌɪnˈsɛsənt
incessantly	ˌɪnˈsɛsəntliː
incest	ˈɪnˌsɛst
incestuous	ˌɪnˈsɛstʃwəs
inch	ˈɪntʃ
inchcape	ˈɪntʃˌkeɪp
inched	ˈɪntʃt
incheon	ˈɪntʃɔːn
inches	ˈɪntʃəz
inches(2)	ˈɪntʃɪz
inches'	ˈɪntʃəz
inches'(2)	ˈɪntʃɪz
inching	ˈɪntʃɪŋ
inchoate	ˌɪnˈkoʊət
inchon	ˈɪntʃɔːn
incidence	ˈɪnsədəns
incidence(2)	ˈɪnsɪdəns
incidences	ˈɪnsədənsɪz
incident	ˈɪnsədənt
incidental	ˌɪnsɪˈdɛntəl
incidentally	ˌɪnsɪˈdɛntəliː
incidentally(2)	ˌɪnsɪˈdɛntliː
